speaker_name,title,posted_date,duration,Link,about_speaker,about_talk,views,tags
Alex Gendler,The Egyptian myth of the death of Osiris,Jul 2020,3:56,https://www.ted.com/talks/alex_gendler_the_egyptian_myth_of_the_death_of_osiris?language=en,,"Long jealous of his older brother Osiris, the god who ruled all of Egypt, the warrior god Set plotted to overthrow him. Hosting an extravagant party as a ruse, Set announced a game— whoever could fit perfectly in a wooden chest could have it as a gift. But the chest was a coffin, trapping Osiris inside. Will his sisters be able to find and free him? Alex Gendler details the myth of Osiris. [Directed by Keegan Thornhill, narrated by Addison Anderson, music by Jarrett Farkas].","208,703","education,ancient world,TED-Ed"
Shari Davis,What if you could help decide how the government spends public funds?,Jul 2020,10:28,https://www.ted.com/talks/shari_davis_what_if_you_could_help_decide_how_the_government_spends_public_funds?language=en,"As a leader of the Participatory Budgeting Project, Shari Davis enriches democracy by returning the reins of government budgeting to the people.","What if you could help decide how the government spends public funds in your community? That's the idea behind participatory budgeting, a process that brings local residents and governments together to develop concrete solutions to real problems close to home. In this inspiring call to action, community leader Shari Davis shows how participatory budgeting can strengthen democracy, transform neighborhoods and cities -- and give everyone a seat at the table. ""We've got to open the doors to city halls and schools so wide that people can't help but walk in,"" she says.","425,688","democracy,leadership,community"
Nita Mosby Tyler,Want a more just world? Be an unlikely ally,Jul 2020,10:15,https://www.ted.com/talks/nita_mosby_tyler_want_a_more_just_world_be_an_unlikely_ally?language=en,"Nita Mosby Tyler specializes in the development and delivery of leadership, equity, diversity, cultural responsiveness and inclusion training programs and strategies.","A more equal world starts with you. Citing a formative moment from her own life, equity advocate Nita Mosby Tyler highlights why showing up and fighting for others who face injustices beyond your own lived experience leads to a fairer, more just future for all.","460,269","activism,inequality,race"
Susan Lupack,The race to decode a mysterious language,Jul 2020,4:24,https://www.ted.com/talks/susan_lupack_the_race_to_decode_a_mysterious_language?language=en,,"In the early 1900s, archaeologist Sir Arthur Evans uncovered nearly 3,000 tablets inscribed with strange symbols. He thought the script, dubbed Linear B, represented the Minoan language, while others came up with their own theories. Was it the lost language of the Etruscans? Or an early form of Basque? Its meaning would elude scholars for 50 years. Susan Lupack explores the mysterious inscriptions. [Directed by Movult, narrated by Bethany Cutmore-Scott, music by Stephen LaRosa].","350,202","TED-Ed,education,language"
Ariel Waldman,The colorful critter world of microbes in Antarctica,Jul 2020,5:56,https://www.ted.com/talks/ariel_waldman_the_colorful_critter_world_of_microbes_in_antarctica?language=en,"An artist who's pivoted to science, Ariel Waldman creates multidisciplinary, creative collaborations that explore the world under our feet (and beyond our atmosphere).","In this tour of the microscopic world, explorer and artist Ariel Waldman introduces the charismatic creatures lurking beneath Antarctica's massive ice sheet, the largest on earth. From ""cuddly"" water bears to geometric algae made of glass, Waldman shows how this seemingly barren landmass is actually a polar oasis of life -- if we just know where to look.","333,482","science,animals,exploration"
Thomas Abt,Why violence clusters in cities — and how to reduce it,Jul 2020,14:51,https://www.ted.com/talks/thomas_abt_why_violence_clusters_in_cities_and_how_to_reduce_it?language=en,"Thomas Abt developed an innovative, evidence-informed model to reduce urban violence.","Reducing violence in cities in the US isn't the impossible, intractable challenge many believe it to be, says crime researcher and educator Thomas Abt. He explains how urban violence is ""sticky"" -- meaning that it clusters among a surprisingly small number of people and places -- and presents an innovative, targeted strategy to make our cities safer, right now, without big budgets or new laws.","50,273","violence,United States,crime"
Steven Anderson,What makes volcanoes erupt?,Jul 2020,5:10,https://www.ted.com/talks/steven_anderson_what_makes_volcanoes_erupt?language=en,,"In February of 1942, Mexican farmer Dionisio Pulido thought he heard thunder coming from his cornfield. However, the sound wasn't coming from the sky. The source was a large, smoking crack emitting gas and ejecting rocks, and would come to be known as the volcano Paricutin. Where do new volcanoes like this come from, and what triggers their unpredictable eruption? Steven Anderson investigates. [Directed by Cabong Studios, narrated by Addison Anderson, music by Astrolábio Studio / Julio Muzzi].","169,272","TED-Ed,education,animation"
Christina Agapakis,What happens when biology becomes technology?,Jul 2020,10:58,https://www.ted.com/talks/christina_agapakis_what_happens_when_biology_becomes_technology?language=en,"In her art and scientific work, Christina Agapakis blurs the boundaries between nature and technology to practice a new kind of engineering, taking into account both human and cultural forces. ","""We've been promised a future of chrome -- but what if the future is fleshy?"" asks biological designer Christina Agapakis. In this awe-inspiring talk, Agapakis details her work in synthetic biology -- a multidisciplinary area of research that pokes holes in the line between what's natural and artificial -- and shares how breaking down the boundaries between science, society, nature and technology can lead us to imagine different possible futures.","575,657","science,biology,nature"
Ahmad M. Hasnah,Rethinking education and celebrating the Arabic language,Jul 2020,26:32,https://www.ted.com/talks/ahmad_m_hasnah_rethinking_education_and_celebrating_the_arabic_language?language=en,"Qatar Foundation for Education, Science, and Community Development (QF) is a non-profit organization that supports Qatar on its journey to becoming a diversified and sustainable economy. QF strives to serve the people of Qatar and beyond by providing specialized programs across its innovation-focused ecosystem of education, research and development, and community development.","The pandemic has deepened the need to rethink education. In conversation with TED Global Curator Bruno Giussani, Dr. Ahmad M. Hasnah of Qatar Foundation discusses an educational model from Doha, Qatar that informs the global needs of students and shares insight into the newly launched TEDinArabic (بالعربي TED),  a global platform for thinkers, researchers, artists and change-makers across the Arabic-speaking world.",,"education,society,future"
Rod Phillips,What happened when the United States tried to ban alcohol,Jul 2020,4:54,https://www.ted.com/talks/rod_phillips_what_happened_when_the_united_states_tried_to_ban_alcohol?language=en,,"On January 17, 1920, less than one hour after spirits had become illegal throughout the United States, armed men robbed a Chicago freight train and made off with thousands of dollars worth of whiskey. It was a first taste of the unintended consequences of Prohibition. So what exactly was Prohibition, and why did it happen? Rod Phillips investigates this chapter of American history. [Directed by Gibbons Studio, narrated by Addison Anderson, music by Fred Roux].","262,067","TED-Ed,animation,government"
Jane Goodall,"Every day you live, you impact the planet",Jul 2020,25:14,https://www.ted.com/talks/jane_goodall_every_day_you_live_you_impact_the_planet?language=en,"Dubbed ""the woman who redefined man"" by her biographer, Jane Goodall has changed our perceptions of primates, people and the connection between the two.","Legendary primatologist Jane Goodall says that humanity's survival depends on conservation of the natural world. In conversation with head of TED Chris Anderson, she tells the story of her formative days working with chimpanzees, how she transformed from a revered naturalist into a dedicated activist and how she's empowering communities around the world to save natural habitats.","614,176","nature,animals,humanity"
Ali Kashani,"A friendly, autonomous robot that delivers your food",Jul 2020,8:51,https://www.ted.com/talks/ali_kashani_a_friendly_autonomous_robot_that_delivers_your_food?language=en,Ali Kashani explores the unexpected roles robots might take on in our daily lives -- including bringing us lunch.,Meet the friendly robot that could deliver your next burrito. Ali Kashani introduces us to Postmates' autonomous delivery robot and explains how it could help reduce carbon emissions and free up valuable real estate in cities everywhere. Learn more about how it was specially designed to navigate complex social interactions on busy sidewalks to bring you your food (and more) with joy.,"638,603","technology,robots,innovation"
Iseult Gillespie,The tale of the boy who tricked the Devil,Jul 2020,5:02,https://www.ted.com/talks/iseult_gillespie_the_tale_of_the_boy_who_tricked_the_devil?language=en,,"In a small town, a proud mother showed off her newborn son. Upon noticing his lucky birthmark, townsfolk predicted he would marry a princess. But soon, these rumors reached the wicked king. Enraged, the king stole the child away, and sent him hurtling down the river. But the infant's luck proved greater than the king's plan. Iseult Gillespie tells the tale of the boy's journey to meet the Devil. [Directed by Lucija Bužančić, narrated by Adrian Dannatt, music by Bamm Bamm Wolfgang].","904,481","TED-Ed,animation,education"
Pratik Aghor,The greatest mathematician that never lived,Jul 2020,4:50,https://www.ted.com/talks/pratik_aghor_the_greatest_mathematician_that_never_lived?language=en,,"When Nicolas Bourbaki applied to the American Mathematical Society in the 1950s, he was already one of the most influential mathematicians of his time. He'd published articles in international journals and his textbooks were required reading. Yet his application was firmly rejected for one simple reason: Nicolas Bourbaki did not exist. How is that possible? Pratik Aghor digs into the mystery. [Directed by Província Studio, narrated by Addison Anderson, music by Cem Misirlioglu / WORKPLAYWORK].","822,003","math,education,history"
Adeola Fayehun,Africa is a sleeping giant — I'm trying to wake it up,Jul 2020,7:09,https://www.ted.com/talks/adeola_fayehun_africa_is_a_sleeping_giant_i_m_trying_to_wake_it_up?language=en,Adeola Fayehun combines her passion for activism with her training in journalism to tell African stories on YouTube with humor.,"""Africa is like a sleeping giant,"" says journalist and satirist Adeola Fayehun at the beginning of this hilarious, incisive talk. ""The truth is I am trying to wake up this giant. That's why I air the dirty laundry of those in charge."" Follow along as she roasts corrupt African officials and shows why the continent already has all it needs to take its rightful place on the world stage -- if only leaders would start taking responsibility.","668,276","Africa,journalism,humor"
Dustin Tahmahkera,The last chief of the Comanches and the fall of an empire,Jul 2020,6:03,https://www.ted.com/talks/dustin_tahmahkera_the_last_chief_of_the_comanches_and_the_fall_of_an_empire?language=en,,"Late one night in 1871, a group of riders descended on a sleeping army camp, stole about 70 horses, and disappeared. Led by a young chief named Quanah Parker, the raid was the latest in a long series of altercations along the Texas frontier between indigenous people and United States forces. Who was this brave warrior? Dustin Tahmahkera details the life of the last chief of the Comanches. [Directed by Tomás Pichardo-Espaillat, narrated by Dustin Tahmahkera, music Cem Misirlioglu / WORKPLAYWORK].","144,378","TED-Ed,animation,education"
Dan Finkel,Can you solve the Ragnarok riddle?,Jul 2020,4:34,https://www.ted.com/talks/dan_finkel_can_you_solve_the_ragnarok_riddle?language=en,,"Ragnarok: The fabled end of the world, when giants, monsters, and Norse gods battle for the future. The gods were winning until the great serpent Jörmungandr emerged. It swallowed Valhalla and contorted itself across the land. Odin has just enough power to strike with one final bolt of lightning, and you have the fabled hammer, Mjölnir. Can you two destroy the serpent? Dan Finkel shows how. [Directed by Artrake Studio, narrated by Addison Anderson].","934,782","TED-Ed,education,math"
Cameron Morin,What do all languages have in common?,Jul 2020,5:02,https://www.ted.com/talks/cameron_morin_what_do_all_languages_have_in_common?language=en,,"Language is endlessly variable. Each of us can come up with an infinite number of sentences in our native language, and we're able to do so from an early age— almost as soon as we start to communicate in sentences. How is this possible? In the early 1950s, Noam Chomsky proposed a theory that the key to this versatility was grammar. Cameron Morin details Chomsky's theory of universal grammar. [Directed by Eoin Duffy, narrated by Addison Anderson, music by Sono Sanctus].","443,310","education,TED-Ed,language"
D-L Stewart,Scenes from a Black trans life,Jul 2020,15:19,https://www.ted.com/talks/d_l_stewart_scenes_from_a_black_trans_life?language=en,"D-L Stewart empowers and imagines futures that sustain and cultivate the learning, growth and success of minoritized groups in postsecondary education.","At the crossroads of life and livelihood, scholar D-L Stewart invites us into scenes from his own life as he resists and reflects on the dehumanizing narratives that shape the Black trans experience in the US. With each word of his captivating and poetic dissection, Stewart emphasizes the magnitude and urgency of the rallying cry ""Black trans lives matter"" -- and calls on others to uphold that truth, too.","663,316","gender,race,Gender spectrum"
Titus Kaphar,Can beauty open our hearts to difficult conversations?,Jul 2020,13:35,https://www.ted.com/talks/titus_kaphar_can_beauty_open_our_hearts_to_difficult_conversations?language=en,Titus Kaphar's artworks interact with the history of art by appropriating its styles and mediums.,"An artwork's color or composition can pull you in -- and put you on the path to having important and difficult conversations, says artist Titus Kaphar. In this stunning talk, he reflects on his artistic evolution and takes us on a tour of his career -- from ""The Jerome Project,"" which draws on religious icons to examine the US criminal justice system, to ""From a Tropical Space,"" a haunting body of work that centers around Black mothers whose children have disappeared. Kaphar also shares the idea behind NXTHVN, an arts incubator and community for young people in his hometown.","86,321","art,history,race"
Bill Gates,How the pandemic will shape the near future,Jul 2020,43:07,https://www.ted.com/talks/bill_gates_how_the_pandemic_will_shape_the_near_future?language=en,"A passionate techie, Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again through his global philanthropic work that strives to reduce inequity everywhere.","Bill Gates talks best (and worst) case scenarios for the coronavirus pandemic in the months ahead, explaining the challenges of reducing virus transmission, providing an update on promising vaccine candidates, offering his thoughts on reopening and even taking a moment to address conspiracy theories circulating about himself. Stay tuned for his critical call to fellow philanthropists to ramp up their action, ambition and awareness to create a better world for all. (This virtual conversation, hosted by head of TED Chris Anderson, was recorded June 29, 2020.)","1,031,812","coronavirus,pandemic,science"
Shekinah Elmore,The courage to live with radical uncertainty,Jul 2020,15:53,https://www.ted.com/talks/shekinah_elmore_the_courage_to_live_with_radical_uncertainty?language=en,Shekinah Elmore is dedicated to pursuing equity and empathy in oncology care.,"When your future is uncertain, how do you keep moving forward? In this courageous talk, oncologist and cancer survivor Shekinah Elmore shares how she embraced life after a rare genetic diagnosis -- and explains why she believes doctors have a duty to help their patients learn to live with radical uncertainty.","80,617","cancer,illness,life"
Aparna Pallavi,What foods did your ancestors love?,Jun 2020,14:40,https://www.ted.com/talks/aparna_pallavi_what_foods_did_your_ancestors_love?language=en,"Aparna Pallavi researches and writes about uncultivated foods available in India's forest, Indigenous people's knowledge and culture around them.","Around the world, Indigenous food cultures vanish because of industrialized agriculture and a shifting, Western-influenced concept of the ideal diet. Food researcher Aparna Pallavi explores why once-essential culinary traditions disappear from people's lives and memories almost without notice -- and serves up a subtle solution to revitalize our connection to the foods we eat.","734,848","history,food,indigenous peoples"
Tracy Edwards,Stop being a bystander in your own life,Jun 2020,11:14,https://www.ted.com/talks/tracy_edwards_stop_being_a_bystander_in_your_own_life?language=en,Tracy Edwards MBE battled against the odds (and the sea) to become the first woman to win the Yachtsman of the Year Trophy.,"""Life doesn't go from A to B -- it's messy,"" says sailing legend Tracy Edwards. In this inspiring talk, she tells how she went from teenage misfit to skipper of the first all-female crew in the toughest race on the seas -- and how she now helps young people around the world achieve their dreams, too.","848,157","life,adventure,personal growth"
H.E. Ellen Johnson Sirleaf,"How women will lead us to freedom, justice and peace",Jun 2020,14:11,https://www.ted.com/talks/h_e_ellen_johnson_sirleaf_how_women_will_lead_us_to_freedom_justice_and_peace?language=en,"The former President of Liberia, Nobel laureate H.E. Ellen Johnson Sirleaf promotes freedom, peace, justice, women’s empowerment and democratic rule.","""I was the first woman president of an African nation, and I do believe more countries ought to try that,"" says H.E. Ellen Johnson Sirleaf, Nobel laureate and former president of Liberia. Telling the story of how Liberian women helped rebuild their country after years of civil war, Sirleaf discusses why gender equality is essential to peace and prosperity -- and shares her plan to uplift a generation of women prepared to take leadership positions and catalyze social change.","698,624","leadership,government,women"
Matt Trombley,The beauty and complexity of finding common ground,Jun 2020,14:00,https://www.ted.com/talks/matt_trombley_the_beauty_and_complexity_of_finding_common_ground?language=en,"Matt Trombley is an active, passionate and service-driven leader in both his workplace and his personal life.","How can we disagree with one another, respectfully and productively? In this thoughtful talk, team builder Matt Trombley reflects on ""agonism"" -- the tendency to take a rigid stance on issues -- and shares why finding aspects of agreement can be the first step in resolving conflict. ""When you can find even the smallest bit of common ground with somebody, it allows you to understand the beautiful wonder and complexity and majesty of the other person,"" he says.","182,254","humanity,community,communication"
